regiondescription,parentlocation,park,usetype,sitetype,campsitetype,campsiteid,campsitename,loop,campsiteaccessible,campsitelongitude,campsitelatitude,avgBookingWindow,avgLengthStay
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,367,B052R,Loop B,FALSE,-112.989901,37.194365,134.244680851064,3
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,431,B020,Loop B,FALSE,-112.988455,37.194454,97.6532258064516,2.26612903225806
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,TENT ONLY NONELECTRIC,TENT ONLY NONELECTRIC,493,D004,Loop D,FALSE,-112.986104,37.196777,93.8581081081081,1.98648648648649
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,485,A015R,Loop A,FALSE,-112.989301,37.197115,122.666666666667,3.05376344086022
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,389,B058,Loop B,FALSE,-112.989003,37.193941,121.72,2.67
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,405,B004,Loop B,FALSE,-112.98979,37.19616,101.7421875,2.203125
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,TENT ONLY NONELECTRIC,TENT ONLY NONELECTRIC,447,C021,Loop C,FALSE,-112.98686,37.196516,88.5723270440252,1.71069182389937
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,425,B041,Loop B,FALSE,-112.989753,37.195827,136.103448275862,2.33620689655172
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,451,B001,Loop B,FALSE,-112.989505,37.196355,115.956204379562,1.95620437956204
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,MANAGEMENT,MANAGEMENT,360,C016HC,Loop C,TRUE,-112.986969,37.196066,93.6753246753247,1.87662337662338
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,TENT ONLY NONELECTRIC,TENT ONLY NONELECTRIC,366,C015,Loop C,FALSE,-112.987275,37.195927,93.1768292682927,1.8109756097561
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,TENT ONLY NONELECTRIC,TENT ONLY NONELECTRIC,483,D008,Loop D,FALSE,-112.986187,37.196471,101.321428571429,2.00714285714286
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,TENT ONLY NONELECTRIC,TENT ONLY NONELECTRIC,458,C019,Loop C,FALSE,-112.986653,37.196327,87.6601307189543,1.88888888888889
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,387,B017,Loop B,FALSE,-112.988967,37.19446,142.324324324324,2.09009009009009
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,TENT ONLY NONELECTRIC,TENT ONLY NONELECTRIC,398,D001,Loop D,FALSE,-112.986282,37.19708,98.4779874213837,1.72327044025157
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,457,B044R,Loop B,FALSE,-112.989955,37.195402,50.7241379310345,2.70344827586207
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,WALK TO,WALK TO,534,F011,Loop F,FALSE,-112.985292,37.19798,85.0487804878049,1.80487804878049
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,436,B047,Loop B,FALSE,-112.989699,37.194841,116.095652173913,2.26086956521739
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,439,B057,Loop B,FALSE,-112.989258,37.194087,121.81512605042,2.36974789915966
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,WALK TO,WALK TO,527,F002,Loop F,FALSE,-112.985239,37.19718,86.6477272727273,1.77840909090909
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,TENT ONLY NONELECTRIC,TENT ONLY NONELECTRIC,369,C002,Loop C,FALSE,-112.987103,37.197167,100.968152866242,1.7515923566879
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,WALK TO,WALK TO,533,F001,Loop F,FALSE,-112.985439,37.197185,86.3353658536585,1.85365853658537
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,TENT ONLY NONELECTRIC,TENT ONLY NONELECTRIC,384,C011,Loop C,FALSE,-112.987493,37.196306,90.2657342657343,1.86013986013986
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,404,A014R,Loop A,FALSE,-112.989217,37.197307,121.83,2.47
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,TENT ONLY NONELECTRIC,TENT ONLY NONELECTRIC,393,C004,Loop C,FALSE,-112.98745,37.197,102.086419753086,1.7283950617284
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,TENT ONLY NONELECTRIC,TENT ONLY NONELECTRIC,362,D005,Loop D,FALSE,-112.986346,37.196774,98.9160839160839,1.81118881118881
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,TENT ONLY NONELECTRIC,TENT ONLY NONELECTRIC,448,D021,Loop D,FALSE,-112.985667,37.195655,113.873873873874,2.30630630630631
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,WALK TO,WALK TO,523,F016,Loop F,FALSE,-112.985787,37.198511,76.6823529411765,1.92352941176471
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,TENT ONLY NONELECTRIC,TENT ONLY NONELECTRIC,517,D039,Loop D,FALSE,-112.985933,37.196905,89.6329113924051,1.82278481012658
